"","Community","who_occupies","zip_code","latitude","longitude","count_vacant"
"69","Roseland",TRUE,"60620","41.72887552732323","-87.62885631147138",18
"70","Austin",TRUE,"60639","41.91235390794022","-87.74748660006227",18
"71","Austin",TRUE,"60644","41.88318564733223","-87.74045602867066",18
"72","Calumet Heights",TRUE,NA,"41.735964788189754","-87.59054698943831",5
"73","Roseland",TRUE,"60628","41.69886657792085","-87.63105687766918",18
"74","Roseland",TRUE,"60628","41.71079532136693","-87.61142360496513",18
"75","North Lawndale",TRUE,"60623","41.85585744622422","-87.72362331315647",13
"76","Auburn Gresham",TRUE,"60620","41.737773959582185","-87.64281507804596",26
"77","South Chicago",TRUE,"60617","41.73732043329538","-87.55628772243388",13
"78","Humboldt Park",TRUE,"60651","41.89582337742152","-87.71876730792938",13
"79","West Pullman",TRUE,"60628","41.67887051429082","-87.6395326522908",20
"80","South Shore",TRUE,"60649","41.75651989105012","-87.56147647148599",13
"81","Chicago Lawn",TRUE,"60629","41.78169356696358","-87.69590269928061",13
"82","West Englewood",TRUE,"60636","41.76975906072557","-87.67244545102454",35
"83","Greater Grand Crossing",TRUE,"60637","41.76701490080574","-87.61408629094146",12
"84","Auburn Gresham",TRUE,"60620","41.746359284363365","-87.65241355002468",26
"85","Greater Grand Crossing",TRUE,"60637","41.76694161947711","-87.61408491008805",12
"86","Gage Park",TRUE,"60629","41.79133119939731","-87.70839879275655",2
"87","South Shore",TRUE,"60619","41.75871376135782","-87.59201274867395",13
"88","West Garfield Park",TRUE,"60624","41.87512537691076","-87.73528316807102",6
"89","South Lawndale",TRUE,"60623","41.845853712111364","-87.703846977482",6
"90","West Englewood",TRUE,"60636","41.7622055497303","-87.66738705572556",35
"91","Humboldt Park",TRUE,"60624","41.891772519357865","-87.71777262984298",13
"92","South Lawndale",TRUE,"60623","41.84543804067746","-87.70993722354665",6
"93","Auburn Gresham",TRUE,"60620","41.73866310207182","-87.6643555288831",26
"94","Humboldt Park",TRUE,"60647","41.910190204032666","-87.72390210467626",13
"95","Humboldt Park",TRUE,"60624","41.89272603137973","-87.71013476584376",13
"96","East Side",TRUE,"60617","41.7042073989303","-87.538912725041",4
"97","West Englewood",TRUE,"60636","41.78974864791982","-87.66690423130196",35
"98","Austin",TRUE,"60644","41.878091531042706","-87.74110670860908",18
"99","South Shore",TRUE,"60649","41.75300288660739","-87.58334433325797",13
"100","Irving Park",TRUE,"60641","41.94315859730403","-87.72804392619706",2
"101","West Englewood",TRUE,"60636","41.771863053984504","-87.66524018200876",35
"102","Auburn Gresham",TRUE,"60620","41.73854739891365","-87.67407282348603",26
"103","West Garfield Park",TRUE,"60624","41.87061040849816","-87.72778368680585",6
"104","West Englewood",TRUE,"60636","41.77182627197359","-87.66523873073778",35
"105","South Chicago",TRUE,"60617","41.73997736271276","-87.56240640782976",13
"106","Auburn Gresham",TRUE,"60620","41.7405274461316","-87.64374839628078",26
"107","North Lawndale",TRUE,"60612","41.868081386086715","-87.69716883465766",13
"108","Avalon Park",TRUE,"60617","41.74001092595354","-87.5745609780737",4
"109","South Chicago",TRUE,"60617","41.74803348863574","-87.5625327367461",13
"110","New City",TRUE,"60609","41.795141765757634","-87.64816134527663",10
"111","Roseland",TRUE,"60628","41.697771515512045","-87.64012418378171",18
"112","West Ridge",TRUE,"60659","41.98752538987455","-87.70256685743456",2
"113","South Lawndale",TRUE,"60623","41.851049947611855","-87.71741629459522",6
"114","Washington Heights",TRUE,"60620","41.72274887132804","-87.65663162168148",6
"115","Englewood",TRUE,"60621","41.76865555023146","-87.64813763948138",19
"116","Roseland",TRUE,"60628","41.70991494227256","-87.62222018461897",18
"117","Ashburn",TRUE,"60652","41.75004412336408","-87.72519553187536",4
"118","Chatham",TRUE,"60619","41.73567651669671","-87.62258628039501",8
"119","Englewood",TRUE,"60621","41.76858057359901","-87.64572002877682",19
"120","Chicago Lawn",TRUE,"60629","41.76030351843443","-87.70025068282459",13
"121","Austin",TRUE,"60644","41.89134649368786","-87.74941624190771",18
"122","Morgan Park",TRUE,"60643","41.69587477788262","-87.65255989799849",4
"123","Clearing",TRUE,"60638","41.777903084223595","-87.76935737930825",1
"124","Chatham",TRUE,"60619","41.73944125848699","-87.62268750589665",8
"125","West Pullman",TRUE,"60628","41.668272525821315","-87.63557584686758",20
"126","West Pullman",TRUE,"60628","41.668309308720616","-87.63557727969138",20
"127","East Garfield Park",TRUE,"60624","41.87086965552433","-87.71356933578235",8
"128","South Shore",TRUE,"60649","41.756405157002966","-87.57242926857562",13
"129","West Englewood",TRUE,"60636","41.77118287081644","-87.66521390769535",35
"130","West Town",TRUE,"60622","41.902925414835956","-87.69687939791712",1
"131","Englewood",TRUE,"60636","41.786241774990444","-87.65466921821474",19
"132","Rogers Park",TRUE,"60626","42.0171288161181","-87.66540371863526",2
"133","West Englewood",TRUE,"60636","41.76393734710158","-87.67229438196956",35
"134","Washington Park",TRUE,"60615","41.79897752858875","-87.62094542450727",5
"135","Washington Park",TRUE,"60615","41.79915018201588","-87.620951580683",5
"136","Chatham",TRUE,"60619","41.74020501473607","-87.61139183612914",8
"137","Roseland",TRUE,"60628","41.688008256450175","-87.62598226663",18
"138","Englewood",TRUE,"60621","41.79164604755983","-87.65359449402281",19
"139","North Lawndale",TRUE,"60623","41.8601326609608","-87.73722776147207",13
"140","East Garfield Park",TRUE,"60624","41.882759382763986","-87.70944534947317",8
"141","East Garfield Park",TRUE,"60624","41.88278868585225","-87.70669675341514",8
"142","West Pullman",TRUE,"60643","41.68434943584519","-87.65429076713431",20
"143","Roseland",TRUE,"60628","41.70160202122083","-87.63100092923148",18
"144","Austin",TRUE,"60651","41.899419219765065","-87.76474433874361",18
"145","Englewood",TRUE,"60621","41.76514448121239","-87.64823618109546",19
"146","West Pullman",TRUE,"60628","41.68078756348478","-87.63892549013525",20
"147","Austin",TRUE,"60651","41.89900085645929","-87.75447354350108",18
"148","Jefferson Park",TRUE,"60646","41.98475648786218","-87.77076689811663",2
"149","Irving Park",TRUE,"60641","41.9427504619229","-87.73591605991669",2
"150","Washington Heights",TRUE,"60643","41.70686938032566","-87.64810117242962",6
"151","East Side",TRUE,"60617","41.71714040809645","-87.53648994876418",4
"152","West Pullman",TRUE,"60628","41.68154646232642","-87.63334176290927",20
"153","Greater Grand Crossing",TRUE,"60619","41.76350019685602","-87.61400016129096",12
"154","West Englewood",TRUE,"60636","41.782184291551694","-87.67034449512428",35
"155","West Englewood",TRUE,"60636","41.76481886045325","-87.6724451497188",35
"156","Belmont Cragin",TRUE,"60639","41.92948417495273","-87.76618291661202",6
"157","Lincoln Square",TRUE,"60640","41.96332701679486","-87.67754208896483",1
"158","Greater Grand Crossing",TRUE,"60619","41.76585604081438","-87.59949439249613",12
"159","Avondale",TRUE,"60618","41.93334767028031","-87.71585333968567",2
"160","West Garfield Park",TRUE,"60624","41.87247818580675","-87.72906521382885",6
"161","West Englewood",TRUE,"60636","41.78585766603122","-87.65587546475844",35
"162","West Pullman",TRUE,"60628","41.67980398432112","-87.62637832256893",20
"163","North Lawndale",TRUE,"60623","41.86512637886624","-87.7324746288768",13
"164","West Englewood",TRUE,"60636","41.78593122354937","-87.65587725707319",35
"165","Jefferson Park",TRUE,"60630","41.97857975386632","-87.76842416449308",2
"166","Ashburn",TRUE,"60652","41.75078627857302","-87.70852198334312",4
"167","New City",TRUE,"60609","41.807984742461244","-87.64369925177635",10
"168","Avalon Park",TRUE,"60619","41.744969883221366","-87.59708232768536",4
"169","Pullman",TRUE,"60628","41.716480137890265","-87.5970254560664",3
"170","Austin",TRUE,"60651","41.896590800173826","-87.77108180729383",18
"171","Calumet Heights",TRUE,"60617","41.73623083460561","-87.57934349222033",5
"172","Washington Heights",TRUE,"60620","41.72235260441361","-87.66148904529412",6
"173","West Englewood",TRUE,"60636","41.7735546595799","-87.66531547812282",35
"174","Roseland",TRUE,"60628","41.717284062725426","-87.61890358028779",18
"175","Greater Grand Crossing",TRUE,"60619","41.76551061625319","-87.60068273831118",12
"176","Ashburn",TRUE,"60652","41.74402942013804","-87.70223505786265",4
"177","McKinley Park",TRUE,"60609","41.82601341702334","-87.66906330785628",2
"178","Beverly",TRUE,"60643","41.7049064606531","-87.66038886527242",4
"179","Chicago Lawn",TRUE,"60636","41.778259219852586","-87.68227622763699",13
"180","Lincoln Park",TRUE,"60614","41.913265990816924","-87.65129778534576",1
"181","West Englewood",TRUE,"60636","41.78950303726863","-87.67539352333957",35
"182","Englewood",TRUE,"60621","41.77214682249616","-87.64944819671588",19
"183","Hegewisch",TRUE,"60633","41.66370402763034","-87.55441221021873",2
"184","New City",TRUE,"60609","41.81538659883516","-87.63865272011152",10
"185","East Side",TRUE,"60617","41.70186630340748","-87.54377213312982",4
"186","Roseland",TRUE,"60628","41.70566783162557","-87.63793876364262",18
"187","Austin",TRUE,"60651","41.90771595989957","-87.75344984004765",18
"188","Morgan Park",TRUE,"60643","41.69734987005326","-87.64618513605986",4
"189","South Shore",TRUE,"60649","41.753680366634775","-87.5560705001544",13
"190","Humboldt Park",TRUE,"60651","41.90343726348528","-87.73502398200945",13
"191","West Englewood",TRUE,"60636","41.766409133496765","-87.66628828028045",35
"192","Englewood",TRUE,"60621","41.786985150620104","-87.64376074057226",19
"193","West Englewood",TRUE,"60636","41.77109329544675","-87.67247996141674",35
"194","Ashburn",TRUE,"60652","41.75242132819587","-87.71021235926305",4
"195","Pullman",TRUE,"60628","41.70652962965688","-87.60531218115611",3
"196","West Ridge",TRUE,"60645","41.998407633778406","-87.68015246906621",2
"197","West Englewood",TRUE,"60636","41.78645732847161","-87.66560069792992",35
"198","Beverly",TRUE,"60643","41.70813651925649","-87.6622079598128",4
"199","South Chicago",TRUE,"60617","41.73127716980299","-87.55405077653877",13
"200","Pullman",TRUE,"60628","41.70652438296832","-87.6056709573021",3
"201","Roseland",TRUE,"60628","41.69992597663809","-87.6195589630651",18
