"","Community","community_area_number","property_type","zip_code","affordable_units_no","x_coordinate","y_coordinate","latitude","longitude","location"
"120","Rogers Park",1,"Supportive Housing",60626,297,1165865.348,1945401.689,42.00577097,-87.66511109,"(42.0057709728472, -87.6651110903791)"
"121","Kenwood",39,"Multifamily",60653,81,1183149.455,1874094.41,41.80971394,-87.60375337,"(41.8097139385796, -87.6037533682576)"
"122","Near West Side",28,"Multifamily",60612,115,1160165.746,1898949.65,41.8784239,-87.68736835,"(41.8784239004305, -87.6873683542788)"
"123","Uptown",3,"Senior",60640,98,1168292.832,1934023.29,41.97449607,-87.65651102,"(41.9744960684983, -87.6565110221041)"
"124","Uptown",3,"ARO",60640,2,1165627.535,1930345.788,41.96446223,-87.66641734,"(41.96446223237479, -87.66641734463559)"
"125","Austin",25,"Senior HUD 202",60644,60,1145250.308,1897655.195,41.87516675,-87.74216784,"(41.8751667549585, -87.7421678377562)"
"126","Grand Boulevard",38,"Multifamily",60615,100,1181127.01,1872564.798,41.80556343,-87.61121843,"(41.805563433030365, -87.61121843419868)"
"127","North Lawndale",29,"Multifamily",60608,10,1158851.587,1894355.407,41.86584389,-87.69231965,"(41.865843892007, -87.6923196474984)"
"128","Washington Heights",73,"Supportive Housing",60620,4,1168524.176,1845466,41.73148212,-87.65822063,"(41.7314821221761, -87.6582206279217)"
"129","Uptown",3,"ARO",60640,4,1164837.241,1931792.002,41.96844754,-87.66928182,"(41.9684475448392, -87.6692818155949)"
"130","Lower West Side",31,"ARO",60608,10,1167176.941,1890229.839,41.85434832,-87.66187526,"(41.8543483215561, -87.6618752555649)"
"131","Near North Side",8,"ARO",60611,3,1179498.66944667,1904838.20592328,41.8941611550803,-87.6162020126837,"(41.8941611550803, -87.6162020126837)"
"132","Oakland",36,"Multifamily",60653,3,1184252.736,1877396.348,41.81874892,-87.59960335,"(41.8187489217312, -87.5996033526626)"
"133","New City",61,"Multifamily",60609,115,1161385.374,1872314.959,41.80531018,-87.68362994,"(41.8053101772522, -87.6836299381718)"
"134","Hyde Park",41,"ARO",60615,10,1185102.561,1869464.413,41.79696316,-87.59673531,"(41.7969631559439, -87.5967353132738)"
"135","South Shore",43,"Multifamily",60649,136,1190721.263,1858722.629,41.76735295,-87.57647796,"(41.7673529545676, -87.5764779584457)"
"136","Austin",25,"Supportive Housing",60644,57,1137606.415,1901816.665,41.88672742,-87.77013329,"(41.8867274206876, -87.7701332901046)"
"137","Avondale",21,"ARO",60618,5,1156887.962,1921101.738,41.93927815,-87.698802,"(41.93927814818369, -87.69880199861194)"
"138","Rogers Park",1,"Senior",60626,119,1165843.898,1946058.513,42.00757377,-87.66517114,"(42.0075737709331, -87.6651711448293)"
"139","Kenwood",39,"Multifamily",60615,97,1182447.475,1873039.189,41.80683465,-87.60636083,"(41.80683465328728, -87.6063608291085)"
"140","North Lawndale",29,"65+/Supportive",60623,120,1147554.657,1890603.264,41.85577153,-87.7338879,"(41.8557715313027, -87.7338878999525)"
"141","West Town",24,"ARO",60647,16,1160047.49668912,1911706.07494694,41.91343104,-87.68744994,"(41.91343103973318, -87.68744993535813)"
"142","Brighton Park",58,"Multifamily",60632,30,1155315.538,1873325.098,41.80820589,-87.70586474,"(41.8082058904121, -87.7058647387343)"
"143","Calumet Heights",48,"Senior",60617,134,1188530.765,1842933.538,41.72407879,-87.58501024,"(41.7240787910774, -87.5850102376276)"
"144","Oakland",36,"Multifamily",60653,76,1181862.329,1880153.551,41.82637057,-87.60828676,"(41.826370566755, -87.6082867641214)"
